Category_AvWeight;FromWeight;Temp;Factor
[250, 300);250;4;0
[250, 300);250;5;0
[250, 300);250;6;0
[250, 300);250;7;0
[250, 300);250;8;0
[250, 300);250;9;0
[250, 300);250;10;1.009
[250, 300);250;11;2.741
[250, 300);250;12;2.351
[250, 300);250;13;2.269
[250, 300);250;14;2.187
[250, 300);250;15;2.016
[250, 300);250;16;1.969
[250, 300);250;17;1.898
[250, 300);250;18;1.846
[250, 300);250;19;1.784
[250, 300);250;20;1.75
[250, 300);250;21;1.714
[250, 300);250;22;1.66
[250, 300);250;23;1.642
[250, 300);250;24;1.617
[250, 300);250;25;1.594
[250, 300);250;26;1.702
[250, 300);250;27;2.069
[250, 300);250;28;2.3
[250, 300);250;29;2.3
[250, 300);250;30;2.3
[250, 300);250;31;2.3
[250, 300);250;32;2.3
[250, 300);250;33;0
[250, 300);250;34;0
[250, 300);250;35;0
[300, 350);300;1;0
[300, 350);300;2;0
[300, 350);300;3;0
[300, 350);300;4;0
[300, 350);300;5;0
[300, 350);300;6;0
[300, 350);300;7;0
[300, 350);300;8;0
[300, 350);300;9;0
[300, 350);300;10;1.009
[300, 350);300;11;3.384
[300, 350);300;12;3.599
[300, 350);300;13;3.326
[300, 350);300;14;2.534
[300, 350);300;15;2.172
[300, 350);300;16;2.07
[300, 350);300;17;2.035
[300, 350);300;18;1.997
[300, 350);300;19;1.941
[300, 350);300;20;1.832
[300, 350);300;21;1.804
[300, 350);300;22;1.776
[300, 350);300;23;1.767
[300, 350);300;24;1.741
[300, 350);300;25;1.714
[300, 350);300;26;1.833
[300, 350);300;27;2.231
[300, 350);300;28;2.48
[300, 350);300;29;2.48
[300, 350);300;30;2.48
[300, 350);300;31;2.48
[300, 350);300;32;2.48
[300, 350);300;33;0
[300, 350);300;34;0
[300, 350);300;35;0
[350, 400);350;1;0
[350, 400);350;2;0
[350, 400);350;3;0
[350, 400);350;4;0
[350, 400);350;5;0
[350, 400);350;6;0
[350, 400);350;7;0
[350, 400);350;8;0
[350, 400);350;9;0
[350, 400);350;10;1.009
[350, 400);350;11;4.195
[350, 400);350;12;3.971
[350, 400);350;13;3.554
[350, 400);350;14;2.935
[350, 400);350;15;2.461
[350, 400);350;16;2.301
[350, 400);350;17;2.187
[350, 400);350;18;2.051
[350, 400);350;19;1.959
[350, 400);350;20;1.932
[350, 400);350;21;1.922
[350, 400);350;22;1.9
[350, 400);350;23;1.873
[350, 400);350;24;1.838
[350, 400);350;25;1.792
[350, 400);350;26;1.895
[350, 400);350;27;2.282
[350, 400);350;28;2.54
[350, 400);350;29;2.54
[350, 400);350;30;2.54
[350, 400);350;31;2.54
[350, 400);350;32;2.54
[350, 400);350;33;0
[350, 400);350;34;0
[350, 400);350;35;0
[400, 450);400;1;0
[400, 450);400;2;0
[400, 450);400;3;0
[400, 450);400;4;0
[400, 450);400;5;0
[400, 450);400;6;0
[400, 450);400;7;0
[400, 450);400;8;0
[400, 450);400;9;0
[400, 450);400;10;1.009
[400, 450);400;11;4.332
[400, 450);400;12;4.044
[400, 450);400;13;3.548
[400, 450);400;14;3.053
[400, 450);400;15;2.617
[400, 450);400;16;2.566
[400, 450);400;17;2.513
[400, 450);400;18;2.46
[400, 450);400;19;2.288
[400, 450);400;20;2.239
[400, 450);400;21;2.212
[400, 450);400;22;2.15
[400, 450);400;23;2.124
[400, 450);400;24;2.085
[400, 450);400;25;2.073
[400, 450);400;26;2.296
[400, 450);400;27;2.678
[400, 450);400;28;2.98
[400, 450);400;29;2.98
[400, 450);400;30;2.98
[400, 450);400;31;2.98
[400, 450);400;32;2.98
[400, 450);400;33;0
[400, 450);400;34;0
[400, 450);400;35;0
[450, 600);450;1;0
[450, 600);450;2;0
[450, 600);450;3;0
[450, 600);450;4;0
[450, 600);450;5;0
[450, 600);450;6;0
[450, 600);450;7;0
[450, 600);450;8;0
[450, 600);450;9;0
[450, 600);450;10;1.009
[450, 600);450;11;4.551
[450, 600);450;12;4.114
[450, 600);450;13;3.805
[450, 600);450;14;3.421
[450, 600);450;15;3.118
[450, 600);450;16;3.108
[450, 600);450;17;3.081
[450, 600);450;18;3.018
[450, 600);450;19;2.991
[450, 600);450;20;2.853
[450, 600);450;21;2.669
[450, 600);450;22;2.55
[450, 600);450;23;2.459
[450, 600);450;24;2.411
[450, 600);450;25;2.364
[450, 600);450;26;2.581
[450, 600);450;27;2.992
[450, 600);450;28;3.32
[450, 600);450;29;3.32
[450, 600);450;30;3.32
[450, 600);450;31;3.32
[450, 600);450;32;3.32
[450, 600);450;33;0
[450, 600);450;34;0
[450, 600);450;35;0
600+;600;1;0
600+;600;2;0
600+;600;3;0
600+;600;4;0
600+;600;5;0
600+;600;6;0
600+;600;7;0
600+;600;8;0
600+;600;9;0
600+;600;10;1.009
600+;600;11;4.807
600+;600;12;4.286
600+;600;13;4.175
600+;600;14;4.065
600+;600;15;3.917
600+;600;16;3.371
600+;600;17;3.3
600+;600;18;3.179
600+;600;19;3.113
600+;600;20;3.03
600+;600;21;2.985
600+;600;22;2.968
600+;600;23;2.937
600+;600;24;2.874
600+;600;25;2.828
600+;600;26;2.958
600+;600;27;3.656
600+;600;28;4.06
600+;600;29;4.06
600+;600;30;4.06
600+;600;31;4.06
600+;600;32;4.06
600+;600;33;0
600+;600;34;0
600+;600;35;0
