FromWeight;Temp;Factor;category;AvWeight
35;3;0;35--60;47.5
35;4;0;35--60;47.5
35;5;0;35--60;47.5
35;6;0;35--60;47.5
35;7;0;35--60;47.5
35;8;0;35--60;47.5
35;9;0;35--60;47.5
35;10;0.999;35--60;47.5
35;11;1.947;35--60;47.5
35;12;1.697;35--60;47.5
35;13;1.634;35--60;47.5
35;14;1.603;35--60;47.5
35;15;1.504;35--60;47.5
35;16;1.421;35--60;47.5
35;17;1.377;35--60;47.5
35;18;1.347;35--60;47.5
35;19;1.288;35--60;47.5
35;20;1.258;35--60;47.5
35;21;1.248;35--60;47.5
35;22;1.23;35--60;47.5
35;23;1.22;35--60;47.5
35;24;1.212;35--60;47.5
35;25;1.196;35--60;47.5
35;26;1.235;35--60;47.5
35;27;1.358;35--60;47.5
35;28;1.51;35--60;47.5
35;29;1.51;35--60;47.5
35;30;1.51;35--60;47.5
35;31;1.51;35--60;47.5
35;32;1.51;35--60;47.5
35;33;0;35--60;47.5
35;34;0;35--60;47.5
35;35;0;35--60;47.5
60;1;0;60--80;70
60;2;0;60--80;70
60;3;0;60--80;70
60;4;0;60--80;70
60;5;0;60--80;70
60;6;0;60--80;70
60;7;0;60--80;70
60;8;0;60--80;70
60;9;0;60--80;70
60;10;0.999;60--80;70
60;11;1.999;60--80;70
60;12;1.87;60--80;70
60;13;1.685;60--80;70
60;14;1.634;60--80;70
60;15;1.543;60--80;70
60;16;1.483;60--80;70
60;17;1.439;60--80;70
60;18;1.392;60--80;70
60;19;1.316;60--80;70
60;20;1.295;60--80;70
60;21;1.26;60--80;70
60;22;1.252;60--80;70
60;23;1.233;60--80;70
60;24;1.225;60--80;70
60;25;1.205;60--80;70
60;26;1.216;60--80;70
60;27;1.48;60--80;70
60;28;1.64;60--80;70
60;29;1.64;60--80;70
60;30;1.64;60--80;70
60;31;1.64;60--80;70
60;32;1.64;60--80;70
60;33;0;60--80;70
60;34;0;60--80;70
60;35;0;60--80;70
80;1;0;80--100;90
80;2;0;80--100;90
80;3;0;80--100;90
80;4;0;80--100;90
80;5;0;80--100;90
80;6;0;80--100;90
80;7;0;80--100;90
80;8;0;80--100;90
80;9;0;80--100;90
80;10;0.999;80--100;90
80;11;2.006;80--100;90
80;12;1.913;80--100;90
80;13;1.711;80--100;90
80;14;1.677;80--100;90
80;15;1.622;80--100;90
80;16;1.579;80--100;90
80;17;1.501;80--100;90
80;18;1.443;80--100;90
80;19;1.417;80--100;90
80;20;1.364;80--100;90
80;21;1.332;80--100;90
80;22;1.308;80--100;90
80;23;1.27;80--100;90
